dispatching_base_number,date,active_vehicles,trips,day,month,weekday
B02512,2015-01-01,190,1132,1,1,Thursday
B02765,2015-01-01,225,1765,1,1,Thursday
B02764,2015-01-01,3427,29421,1,1,Thursday
B02682,2015-01-01,945,7679,1,1,Thursday
B02617,2015-01-01,1228,9537,1,1,Thursday
B02598,2015-01-01,870,6903,1,1,Thursday
B02598,2015-01-02,785,4768,2,1,Friday
B02617,2015-01-02,1137,7065,2,1,Friday
B02512,2015-01-02,175,875,2,1,Friday
B02682,2015-01-02,890,5506,2,1,Friday
B02765,2015-01-02,196,1001,2,1,Friday
B02764,2015-01-02,3147,19974,2,1,Friday
B02765,2015-01-03,201,1526,3,1,Saturday
B02617,2015-01-03,1188,10664,3,1,Saturday
B02598,2015-01-03,818,7432,3,1,Saturday
B02682,2015-01-03,915,8010,3,1,Saturday
B02512,2015-01-03,173,1088,3,1,Saturday
B02764,2015-01-03,3215,29729,3,1,Saturday
B02512,2015-01-04,147,791,4,1,Sunday
B02682,2015-01-04,812,5621,4,1,Sunday
B02598,2015-01-04,746,5223,4,1,Sunday
B02765,2015-01-04,183,993,4,1,Sunday
B02617,2015-01-04,1088,7729,4,1,Sunday
B02764,2015-01-04,2862,20441,4,1,Sunday
B02512,2015-01-05,194,984,5,1,Monday
B02682,2015-01-05,951,6012,5,1,Monday
B02617,2015-01-05,1218,7899,5,1,Monday
B02764,2015-01-05,3387,20926,5,1,Monday
B02598,2015-01-05,907,5798,5,1,Monday
B02765,2015-01-05,227,1133,5,1,Monday
B02764,2015-01-06,3473,25301,6,1,Tuesday
B02682,2015-01-06,1022,7491,6,1,Tuesday
B02617,2015-01-06,1336,10128,6,1,Tuesday
B02765,2015-01-06,234,1376,6,1,Tuesday
B02512,2015-01-06,218,1314,6,1,Tuesday
B02598,2015-01-06,933,6816,6,1,Tuesday
B02617,2015-01-07,1363,11528,7,1,Wednesday
B02682,2015-01-07,1039,9078,7,1,Wednesday
B02764,2015-01-07,3603,29949,7,1,Wednesday
B02765,2015-01-07,248,1704,7,1,Wednesday
B02512,2015-01-07,217,1446,7,1,Wednesday
B02598,2015-01-07,974,8397,7,1,Wednesday
B02765,2015-01-08,262,1911,8,1,Thursday
B02598,2015-01-08,1070,10050,8,1,Thursday
B02512,2015-01-08,238,1772,8,1,Thursday
B02682,2015-01-08,1135,10416,8,1,Thursday
B02764,2015-01-08,3831,33802,8,1,Thursday
B02617,2015-01-08,1463,13462,8,1,Thursday
B02617,2015-01-09,1455,13165,9,1,Friday
B02512,2015-01-09,224,1560,9,1,Friday
B02764,2015-01-09,3820,33517,9,1,Friday
B02682,2015-01-09,1140,10477,9,1,Friday
B02598,2015-01-09,1070,9538,9,1,Friday
B02765,2015-01-09,280,2039,9,1,Friday
B02682,2015-01-10,1057,11629,10,1,Saturday
B02617,2015-01-10,1331,13856,10,1,Saturday
B02598,2015-01-10,949,10287,10,1,Saturday
B02512,2015-01-10,206,1646,10,1,Saturday
B02764,2015-01-10,3558,38864,10,1,Saturday
B02765,2015-01-10,245,2202,10,1,Saturday
B02765,2015-01-11,220,1672,11,1,Sunday
B02598,2015-01-11,832,7176,11,1,Sunday
B02682,2015-01-11,943,8461,11,1,Sunday
B02764,2015-01-11,3186,27681,11,1,Sunday
B02617,2015-01-11,1228,10932,11,1,Sunday
B02512,2015-01-11,162,1104,11,1,Sunday
B02764,2015-01-12,3499,26852,12,1,Monday
B02765,2015-01-12,279,1711,12,1,Monday
B02512,2015-01-12,217,1399,12,1,Monday
B02598,2015-01-12,964,7915,12,1,Monday
B02682,2015-01-12,1082,9107,12,1,Monday
B02617,2015-01-12,1323,10662,12,1,Monday
B02765,2015-01-13,258,1697,13,1,Tuesday
B02598,2015-01-13,975,8713,13,1,Tuesday
B02617,2015-01-13,1342,11825,13,1,Tuesday
B02512,2015-01-13,234,1652,13,1,Tuesday
B02764,2015-01-13,3658,29983,13,1,Tuesday
B02682,2015-01-13,1092,9629,13,1,Tuesday
B02764,2015-01-14,3736,29550,14,1,Wednesday
B02765,2015-01-14,271,1600,14,1,Wednesday
B02598,2015-01-14,1030,8870,14,1,Wednesday
B02512,2015-01-14,233,1582,14,1,Wednesday
B02617,2015-01-14,1405,11965,14,1,Wednesday
B02682,2015-01-14,1174,9762,14,1,Wednesday
B02512,2015-01-15,237,1636,15,1,Thursday
B02682,2015-01-15,1208,10391,15,1,Thursday
B02617,2015-01-15,1457,12539,15,1,Thursday
B02765,2015-01-15,270,1797,15,1,Thursday
B02764,2015-01-15,3840,31214,15,1,Thursday
B02598,2015-01-15,1068,9152,15,1,Thursday
B02617,2015-01-16,1445,12977,16,1,Friday
B02765,2015-01-16,290,2082,16,1,Friday
B02764,2015-01-16,3975,34822,16,1,Friday
B02682,2015-01-16,1250,11280,16,1,Friday
B02512,2015-01-16,234,1481,16,1,Friday
B02598,2015-01-16,1079,9838,16,1,Friday
B02598,2015-01-17,974,9546,17,1,Saturday
B02512,2015-01-17,201,1281,17,1,Saturday
B02682,2015-01-17,1137,11382,17,1,Saturday
B02765,2015-01-17,252,2160,17,1,Saturday
B02617,2015-01-17,1306,12676,17,1,Saturday
B02764,2015-01-17,3657,36318,17,1,Saturday
B02512,2015-01-18,177,1521,18,1,Sunday
B02598,2015-01-18,869,9443,18,1,Sunday
B02765,2015-01-18,248,2287,18,1,Sunday
B02764,2015-01-18,3290,35182,18,1,Sunday
B02682,2015-01-18,1056,11161,18,1,Sunday
B02617,2015-01-18,1223,12879,18,1,Sunday
B02682,2015-01-19,883,7028,19,1,Monday
B02617,2015-01-19,992,7775,19,1,Monday
B02765,2015-01-19,238,1568,19,1,Monday
B02764,2015-01-19,2958,22750,19,1,Monday
B02512,2015-01-19,168,1025,19,1,Monday
B02598,2015-01-19,706,5609,19,1,Monday
B02598,2015-01-20,944,7206,20,1,Tuesday
